# ----------------------------------------
# XP INVESTIMENTOS CORRETORA CAM
# CloudSOC Audit - Allowed Services
# Time Period: Feb 29 2020 - Mar 06 2020
"# Data Sources: All"
# Service Type: Cloud
# Classification: All Services
# ----------------------------------------

Rating,Name,Default Tags,Ignore Tag,Custom Tags,Category,Allowed URL/IP,Sessions,Traffic,Uploads,Downloads,Users,Destinations,Platforms,Avg Duration,Embedded URLs
"75","GitHub","","","","Code Hosting","leaflet.github.io,benq-creative.github.io,mdn.github.io,scipy.github.io,emn178.github.io,mozilla.github.io,cloudapp.github.io,jguegant.github.io,uploads.github.com,harvesthq.github.io,prinzhorn.github.io,alphapoint.github.io,benchislett.github.io,emotionloop.github.io,events-feed.github.com,philipwalton.github.io,reactiveraven.github.io,stackexchange.github.io,theideabureau.github.io,developercielo.github.io,identityserver.github.io,spotlights-feed.github.com,uwescience.github.io,malsup.github.com,lipis.github.io,igorescobar.github.io,microsoft.github.io,fluentmigrator.github.io,manuelstofer.github.io,withspectrum.github.io,facebook.github.io,uc-r.github.io,mongodb.github.io,xamarin.github.io,gitbrent.github.io,joshclose.github.io,huynhhuynh.github.io,graphql-dotnet.github.io,react-bootstrap.github.io,gitcdn.github.io,andreasmb.github.io,lgshopback.github.io,reenhanced.github.io,rubjo.github.io,juliohm.github.io,intuit.github.io,vgpena.github.io,alhardy.github.io,react-workspaces.github.io,terrylinooo.github.io,tobiashochguertel.github.io,obeattie.github.io,cengel.github.io,eldoyle.github.io,husobee.github.io,jmoiron.github.io,text-mask.github.io,allendowney.github.io,github.com,live.github.com,darkreader.github.io,atom-installer.github.com,api.github.com,conemu.github.io,owlcarousel2.github.io,pagarme.github.io,raw.github.com,shopbackbr.github.io,codeload.github.com,nsubstitute.github.io,nsubstitute.github.com,ianlunn.github.io,central.github.com,metamask.github.io,multivitaminllc.github.io,diegoddox.github.io,excelnaweb.github.io,buttons.github.io,afeld.github.io,malsup.github.io,twitter.github.io,hdrhistogram.github.io,webrtc.github.io,customer-stories-feed.github.com,necolas.github.io,help.github.com,blueimp.github.io,malihu.github.io,fragaria.github.io,bjornej.github.io,f.cloud.github.com,developer.github.com,kenwheeler.github.io,bfintal.github.io,stuk.github.io,jgraph.github.io,octodex.github.com,rabbitmq.github.io,joeferner.github.io,assets-cdn.github.com,luxdeepblue.github.io,zzzprojects.github.io,qd-cdn.github.io,flutter.github.io,isocpp.github.io,softchris.github.io,mpiotrowicz.github.io,visionmedia.github.io,qd-newsletter.github.io,zaf.github.io,channg.github.io,lurumad.github.io,mitre-attack.github.io,jest-bot.github.io,techtalk.github.io,lamfo-unb.github.io,techtalk.github.com,sweetalert2.github.io,bertellicode.github.io,googlechrome.github.io,bigspotteddog.github.io,google.github.io,hammerjs.github.io,bloomberg.github.io,tableless.github.io,alexandrugris.github.io,joelittlejohn.github.io,salesforce-marketingcloud.github.io,uber.github.io,www.github.com,toert.github.io,johnpolacek.github.io,react-icons.github.io,blackrockdigital.github.io,clovisdasilvaneto.github.io,openexchangerates.github.io,rust-lang-nursery.github.io,grpc.github.io,ecomfe.github.io,mgechev.github.io,netflix.github.io,brorlandi.github.io,florentbr.github.io,rjsf-team.github.io,kubernetes.github.io,outsystems-cx.github.io,guilhermejacob.github.io,googlechromelabs.github.io,cbonte.github.io,afarkas.github.io,jakevdp.github.io,unidata.github.io,shridhad.github.io,wilsonmar.github.io,littlebits.github.io,littlebits.github.com,rogerdudler.github.io,webplatform.github.io,donjayamanne.github.io,filamentgroup.github.io,matthewgilbert.github.io,bcredi.github.io,mo.github.io,cloud.github.com,hplgit.github.io,googleads.github.io,asitha.github.io,inloop.github.io,replit.github.io,gcattani.github.io,quanganh206.github.io,greatsuspender.github.io,185.199.109.153,xdamman.github.com,felipenoris.github.io,influx-explorer.github.io,mysql-net.github.io,mjambersso.github.io,andreemidio.github.io,peopledoc.github.io,sonarsource.github.io,mindofai.github.io,sibelius.github.io,bigspaceship.github.io,kinddragon.github.io,wesbos.github.io,gdmarmerola.github.io,cepruo.github.io,colah.github.io,torokmark.github.io,creativepsyco.github.io,baezortega.github.io,rskupnik.github.io,cwisoftware.github.io,insper.github.io,insper.github.com,wilsonfreitas.github.io,asafdav2.github.io,chriswillsflannery.github.io,steve-jansen.github.io,steveridout.github.io,udgwebdev.github.io,manfredinid.github.io,vijayshinva.github.io,flukeout.github.io,lucasmedeiros-mdx.github.io,t-redactyl.github.io,danilowoz.github.io,ganderzz.github.io,renantoniolo.github.com,knockdata.github.io,guides.github.com,jasmine.github.io,geek-cook.github.io,mkleehammer.github.io,alexanderzobnin.github.io,makingdifferent.github.io,monitoringartist.github.io,jawj.github.io,vindi.github.io,rkapl123.github.io,education.github.com,woocommerce.github.io,prismlibrary.github.io,mikemcl.github.io,tc39.github.io,fixie.github.io,rafaelalucas91.github.io,pandao.github.io,mrocklin.github.io,mrocklin.github.com,plotly.github.io,altair-viz.github.io,yoksel.github.io,juliadocs.github.io,lenadroid.github.io,w3c.github.io,vega.github.io,juliamath.github.io,angular-ui.github.io,chih-ling-hsu.github.io,stylishthemes.github.io,bartaz.github.io,daneden.github.io,drivendata.github.io,swcarpentry.github.io,visualstudio.github.com,xunit.github.io,utatti.github.io,github.github.com,mode.github.io,elmah.github.io,pandas-docs.github.io,songhuiming.github.io,krbnite.github.io,selectize.github.io,chenqingspring.github.io,datasift.github.io,moment.github.io,dotnet.github.io,jakearchibald.github.io,dnl1.github.io,bvaughn.github.io,scikit-learn.github.io,rstudio.github.io,datamart.github.io,mreq.github.io,azure.github.io,lanl-ansi.github.io,vincenttam.github.io,saylordotorg.github.io,julianlsolvers.github.io,danielpalme.github.io,cobertura.github.io,canvg.github.io,naereen.github.io,desktop.github.com,protobuf-net.github.io,gabrielschade.github.io,nightwing.github.io,stedolan.github.io,arielbetti.github.io,pages.github.com,vmware.github.io,treehouse.github.io,juliacomputing.github.io,lizoc.github.io,fortify.github.io,palantir.github.io,material-components.github.io,willianjusten.github.io,ciembor.github.io,callstack.github.io,htmlpreview.github.io,yorek.github.io,haozhu233.github.io,natemcmaster.github.io,truveris.github.io,hashnode.github.io,ramblingcookiemonster.github.io,jmezach.github.io,rodrigorgs.github.io,plentz.github.io,robwise.github.io,cezarypiatek.github.io,ordina-jworks.github.io,pingendo.github.io,oracle.github.io,thinkmill.github.io,twitter.github.com,lmax-exchange.github.io,google.github.com,posthtml.github.io,jagreehal.github.io,kaliber5.github.io,offirgolan.github.io,timholy.github.io,ionic-team.github.io,remibou.github.io,hdrhistogram.github.com,deltice.github.io,ethen8181.github.io,contentful.github.io,structuremap.github.io,juliadata.github.io,marcello-oliveira.github.io,networkx.github.io,antaris.github.io,matthid.github.io,quantecon.github.io,juliagizmos.github.io,garrettgman.github.io,thiagocanudo.github.io,seanlaw.github.io,googlemaps.github.io,marcomengoli.github.io,185.199.111.153,smack0007.github.io,151.101.92.133,185.199.108.153,18.228.52.138,iamtrask.github.io,me613-unicamp.github.io,react-cn.github.io,mdarlea.github.io,jingwen-z.github.io,codefc.github.io,h5bp.github.io,bgrins.github.io,emgoto.github.io,bgrins.github.com,dgosantos89.github.io,reactstrap.github.io,martindrapeau.github.io,richorama.github.io,mlabssoftware.github.io,aetperf.github.io,support.github.com,caolan.github.io,splode.github.io,fortawesome.github.io,sillasgonzaga.github.io,sebdah.github.io,sebdah.github.com,jtsulliv.github.io,openmaptiles.github.io,koush.github.io,jdanque.github.io,jagt.github.io,artsy.github.io,tiago-soczek.github.io,lastdreamer.github.io,beenje.github.io,lzxue.github.io,freeotp.github.io,bbengfort.github.io,manojvivek.github.io,jvitela.github.io,badsyntax.github.io,pedrobern.github.io,lennonalvesdias.github.io,filipbech.github.io,zaf.github.com,juliastats.github.io,mailgun.github.io,nozbe.github.io,cake-contrib.github.io,pixelastic.github.io,chasethedevil.github.io,tastenkunst.github.io,rendro.github.io,fabiomarreco.github.io,aral.github.io,spaciecat.github.io,floooh.github.io,aneesahammed.github.io,millengustavo.github.io,tmenier.github.io,renantoniolo.github.io,some-react-components.github.io,aspose.github.io,mbostock.github.io,185.199.110.153,birl-language.github.io,nielsboogaard.github.io,kuwabarahiroshi.github.io,gitbookio.github.io,googletrends.github.io,catamphetamine.github.io,tewarid.github.io,calculo-clt-pj.github.io,chaoss.github.io,reposense.github.io,grimoirelab.github.io,metricsgrimoire.github.io,carlo.github.io,jedwatson.github.io,jonatasnardi.github.io,seleniumhq.github.io,uoa-eresearch.github.io,brenna.github.io,talyssonoc.github.io,chicagoboothml.github.io,baconjs.github.io,maczniak.github.io,leduqueiroz.github.io,be-media.github.io,sanniassin.github.io,yeungda.github.io,sergeyteplyakov.github.io,hendra-herviawan.github.io,scaled-agile-inc.github.io,react-dnd.github.io,keon.github.io,yanpanlau.github.io,pardotrader.github.io,butecoopensource.github.io,slack.github.com,plainionist.github.io,yaireo.github.io,ursasmar.github.io,eddelbuettel.github.io,bootstrap-tagsinput.github.io,emap.github.io,ickc.github.io,marklodato.github.io,marklodato.github.com,git-for-windows.github.io,aral.github.com,jamesdbrock.github.io,wscats.github.io,ajaxorg.github.io,bevacqua.github.io,bic-berkeley.github.io,python-markdown.github.io,react-materialize.github.io,shop.github.com,bhch.github.io,mrs4w.github.io,leemendelowitz.github.io,shanalikhan.github.io,almende.github.io,dareid.github.io,angular.github.io,gitgrimbo.github.io,googleapis.github.io,toomuchdesign.github.io,maxpowerwastaken.github.io,lazywinadmin.github.io,mehedi61.github.io,clayford.github.io,mottie.github.io,npmdoc.github.io,mottie.github.com,enzymejs.github.io,pierrebtz.github.io,codesignal.github.io,aishek.github.io,edneypitta.github.io,geek-cdn.github.io,devexpress.github.io,epoberezkin.github.io,danielkummer.github.io,weekly-geekly.github.io,jpuri.github.io,pattle.github.io,weblank.github.io,timtrice.github.io,akajuvonen.github.io,react-native-training.github.io,cstack.github.io,thisisdallas.github.io,mermaidjs.github.io,mermaid-js.github.io,super-geek-news.github.io,lesgobbi.github.io,penseallen.github.io,marcinczenko.github.io,owasp.github.io,jkjung-avt.github.io","20860","2123710789","443198790","1680511999","688","6","3","15s",""
"52","GitHub Gist","Block@NWDevice","","","Code Hosting","gist.github.com","194","8925961","1777420","7148541","91","1","2","3s",""
